,g_L default,g_L,E_L default,E_L,C_m default,C_m
164,16.6667,214.6375496,-70,-64.31276729,250,109.8293
165,16.6667,117.7589677,-70,-73.07731367,250,109.8293
166,16.6667,250.1119855,-70,-64.31276729,250,109.8293
167,16.6667,116.5182202,-70,-62.92446589,250,118.7322
168,16.6667,165.0594893,-70,-65.58152638,250,118.2292
169,16.6667,27.54039329,-70,-61.99896379,250,144.1315
170,16.6667,40.15623048,-70,-62.92446589,250,118.7322
171,16.6667,73.23162157,-70,-61.38578781,250,82.6775
172,16.6667,125.8727298,-70,-61.99896379,250,144.1315
173,16.6667,86.43443346,-70,-76.51568941,250,103.9506
174,16.6667,202.6660802,-70,-64.31276729,250,109.8293
175,16.6667,161.6052464,-70,-65.58152638,250,118.2292
176,16.6667,118.2830004,-70,-73.07731367,250,109.8293
177,16.6667,85.59092021,-70,-76.51568941,250,103.9506
178,16.6667,73.23162157,-70,-61.38578781,250,82.6775
179,16.6667,116.5182202,-70,-62.92446589,250,118.7322
180,16.6667,85.59092021,-70,-76.51568941,250,103.9506
181,16.6667,38.26309374,-70,-61.99896379,250,144.1315
182,16.6667,219.2745766,-70,-64.31276729,250,109.8293
183,16.6667,20.0575371,-70,-62.56025374,250,64.4175
184,16.6667,161.2622446,-70,-65.58152638,250,118.2292
185,16.6667,30.14049788,-70,-62.06317645,250,82.6775
186,16.6667,85.59092021,-70,-76.51568941,250,103.9506
187,16.6667,85.59092021,-70,-76.51568941,250,103.9506
188,16.6667,218.1539715,-70,-64.31276729,250,109.8293
189,16.6667,125.1250082,-70,-61.99896379,250,144.1315
190,16.6667,90.4088272,-70,-62.03795533,250,82.6775
191,16.6667,85.59092021,-70,-76.51568941,250,103.9506
192,16.6667,116.8659179,-70,-61.99896379,250,144.1315
193,16.6667,27.54039329,-70,-61.99896379,250,144.1315
194,16.6667,27.54039329,-70,-61.99896379,250,144.1315
195,16.6667,250.1119855,-70,-64.31276729,250,109.8293
196,16.6667,73.23162157,-70,-61.38578781,250,82.6775
197,16.6667,218.1539715,-70,-64.31276729,250,109.8293
198,16.6667,2.199479896,-70,-62.92446589,250,118.7322
199,16.6667,202.6660802,-70,-64.31276729,250,109.8293
200,16.6667,116.5182202,-70,-62.92446589,250,118.7322
201,16.6667,29.32158503,-70,-63.17258776,250,82.6775
202,16.6667,118.2830004,-70,-73.07731367,250,109.8293
203,16.6667,90.4088272,-70,-62.03795533,250,82.6775
204,16.6667,33.27755295,-70,-63.99273923,250,82.6775
205,16.6667,90.4088272,-70,-62.03795533,250,82.6775
206,16.6667,30.14049788,-70,-62.06317645,250,82.6775
207,16.6667,102.0462732,-70,-76.51568941,250,103.9506
208,16.6667,219.2745766,-70,-64.31276729,250,109.8293
209,16.6667,33.27755295,-70,-63.99273923,250,82.6775
210,16.6667,20.45893782,-70,-62.57868264,250,82.6775
211,16.6667,27.54039329,-70,-61.99896379,250,144.1315
212,16.6667,167.6210843,-70,-65.58152638,250,118.2292
213,16.6667,11.65139394,-70,-50.0,250,194.5705
214,16.6667,219.2745766,-70,-64.31276729,250,109.8293
215,16.6667,122.6621103,-70,-73.07731367,250,109.8293
216,16.6667,161.2622446,-70,-65.58152638,250,118.2292
217,16.6667,92.57755251,-70,-76.51568941,250,103.9506
218,16.6667,22.02791659,-70,-62.92446589,250,118.7322
219,16.6667,20.45893782,-70,-62.57868264,250,82.6775
220,16.6667,2.912445017,-70,-62.92446589,250,118.7322
221,16.6667,113.0700632,-70,-61.99896379,250,144.1315
222,16.6667,214.6375496,-70,-64.31276729,250,109.8293
223,16.6667,85.59092021,-70,-76.51568941,250,103.9506
224,16.6667,125.8727298,-70,-61.99896379,250,144.1315
225,16.6667,161.2622446,-70,-65.58152638,250,118.2292
226,16.6667,102.0462732,-70,-76.51568941,250,103.9506
227,16.6667,40.15623048,-70,-62.92446589,250,118.7322
228,16.6667,14.60303392,-70,-62.92446589,250,118.7322
229,16.6667,219.2745766,-70,-64.31276729,250,109.8293
230,16.6667,165.0594893,-70,-65.58152638,250,118.2292
231,16.6667,218.1539715,-70,-64.31276729,250,109.8293
232,16.6667,165.0594893,-70,-65.58152638,250,118.2292
233,16.6667,161.2622446,-70,-65.58152638,250,118.2292
234,16.6667,20.0575371,-70,-62.56025374,250,64.4175
235,16.6667,102.0462732,-70,-76.51568941,250,103.9506
236,16.6667,53.08111044,-70,-76.51568941,250,103.9506
237,16.6667,122.4629179,-70,-73.07731367,250,109.8293
238,16.6667,163.2613921,-70,-65.58152638,250,118.2292
239,16.6667,116.8659179,-70,-61.99896379,250,144.1315
240,16.6667,102.0462732,-70,-76.51568941,250,103.9506
241,16.6667,125.1250082,-70,-61.99896379,250,144.1315
242,16.6667,53.08111044,-70,-76.51568941,250,103.9506
243,16.6667,165.0594893,-70,-65.58152638,250,118.2292
244,16.6667,27.54039329,-70,-61.99896379,250,144.1315
245,16.6667,218.1539715,-70,-64.31276729,250,109.8293
246,16.6667,61.73861826,-70,-62.56025374,250,64.4175
247,16.6667,163.0959387,-70,-65.58152638,250,118.2292
248,16.6667,92.57755251,-70,-76.51568941,250,103.9506
249,16.6667,33.27755295,-70,-63.99273923,250,82.6775
250,16.6667,92.57755251,-70,-76.51568941,250,103.9506
251,16.6667,40.15623048,-70,-62.92446589,250,118.7322
252,16.6667,219.2745766,-70,-64.31276729,250,109.8293
253,16.6667,40.15623048,-70,-62.92446589,250,118.7322
254,16.6667,90.4088272,-70,-62.03795533,250,82.6775
255,16.6667,53.08111044,-70,-76.51568941,250,103.9506
256,16.6667,30.14049788,-70,-62.06317645,250,82.6775
257,16.6667,22.02791659,-70,-62.92446589,250,118.7322
258,16.6667,219.2745766,-70,-64.31276729,250,109.8293
259,16.6667,116.5182202,-70,-62.92446589,250,118.7322
260,16.6667,113.0700632,-70,-61.99896379,250,144.1315
261,16.6667,89.20470583,-70,-61.99896379,250,144.1315
262,16.6667,61.89306079,-70,-63.95421694,250,82.6775
263,16.6667,214.6375496,-70,-64.31276729,250,109.8293
264,16.6667,202.6660802,-70,-64.31276729,250,109.8293
265,16.6667,219.2745766,-70,-64.31276729,250,109.8293
266,16.6667,250.1119855,-70,-64.31276729,250,109.8293
267,16.6667,27.54039329,-70,-61.99896379,250,144.1315
268,16.6667,27.54039329,-70,-61.99896379,250,144.1315
269,16.6667,14.60303392,-70,-62.92446589,250,118.7322
270,16.6667,20.45893782,-70,-62.57868264,250,82.6775
271,16.6667,14.60303392,-70,-62.92446589,250,118.7322
272,16.6667,92.57755251,-70,-76.51568941,250,103.9506
273,16.6667,167.6210843,-70,-65.58152638,250,118.2292
274,16.6667,20.45893782,-70,-62.57868264,250,82.6775
275,16.6667,165.0594893,-70,-65.58152638,250,118.2292
276,16.6667,167.6210843,-70,-65.58152638,250,118.2292
277,16.6667,218.1539715,-70,-64.31276729,250,109.8293
278,16.6667,14.60303392,-70,-62.92446589,250,118.7322
279,16.6667,10.41951224,-70,-61.99896379,250,144.1315
280,16.6667,73.23162157,-70,-61.38578781,250,82.6775
281,16.6667,20.0575371,-70,-62.56025374,250,64.4175
282,16.6667,218.1539715,-70,-64.31276729,250,109.8293
283,16.6667,167.6210843,-70,-65.58152638,250,118.2292
284,16.6667,53.08111044,-70,-76.51568941,250,103.9506
285,16.6667,102.0462732,-70,-76.51568941,250,103.9506
286,16.6667,61.89306079,-70,-63.95421694,250,82.6775
287,16.6667,89.20470583,-70,-61.99896379,250,144.1315
288,16.6667,20.45893782,-70,-62.57868264,250,82.6775
289,16.6667,30.14049788,-70,-62.06317645,250,82.6775
290,16.6667,27.54039329,-70,-61.99896379,250,144.1315
291,16.6667,27.54039329,-70,-61.99896379,250,144.1315
292,16.6667,10.41951224,-70,-61.99896379,250,144.1315
293,16.6667,167.6210843,-70,-65.58152638,250,118.2292
294,16.6667,89.20470583,-70,-61.99896379,250,144.1315
295,16.6667,90.4088272,-70,-62.03795533,250,82.6775
296,16.6667,2.199479896,-70,-62.92446589,250,118.7322
